udi,id_produto,tipo,temperatura_ar_k,temperatura_processo_k,velocidade_rotacao_rpm,torque_nm,desgaste_ferramenta_min,falha_maquina,falha_twf,falha_hdf,falha_pwf,falha_osf,falha_rnf,ratio_temp,flag_sobrecarga_termica,potencia_estimada
78,L47257,L,298.8,308.9,1455.0,41.3,208,1,1,0,0,0,0,0.9673033312809864,0,60091.49999999999
79,L47258,L,298.8,308.9,1398.0,51.5,0,0,0,0,0,0,0,0.9673033312809864,0,71997.0
80,L47259,L,298.8,308.9,1402.0,37.9,2,0,0,0,0,0,0,0.9673033312809864,0,53135.799999999996
82,L47261,L,298.9,308.9,1450.0,47.5,9,0,0,0,0,0,0,0.9676270606421915,0,68875.0
83,L47262,L,298.9,308.9,1453.0,40.8,11,0,0,0,0,0,0,0.9676270606421915,0,59282.399999999994
84,L47263,L,299.0,309.0,1469.0,40.1,13,0,0,0,0,0,0,0.9676375373215613,0,58906.9
85,L47264,L,298.9,308.9,1422.0,47.6,15,0,0,0,0,0,0,0.9676270606421915,0,67687.2
86,M14945,M,299.0,309.0,1804.0,26.8,17,0,0,0,0,0,0,0.9676375373215613,0,48347.200000000004
87,H29500,H,299.0,309.0,1436.0,43.9,20,0,0,0,0,0,0,0.9676375373215613,0,63040.4
88,L47267,L,299.0,309.0,1544.0,31.8,25,0,0,0,0,0,0,0.9676375373215613,0,49099.200000000004
90,M14949,M,298.9,308.9,1487.0,39.5,30,0,0,0,0,0,0,0.9676270606421915,0,58736.5
91,L47270,L,298.9,308.9,1753.0,25.8,33,0,0,0,0,0,0,0.9676270606421915,0,45227.4
92,L47271,L,298.9,308.9,1830.0,24.9,35,0,0,0,0,0,0,0.9676270606421915,0,45567.0
94,L47273,L,299.1,309.0,1450.0,43.0,40,0,0,0,0,0,0,0.9679611619159834,0,62350.0
95,L47274,L,299.0,308.9,1622.0,31.9,42,0,0,0,0,0,0,0.9679507900033967,0,51741.799999999996
96,M14955,M,299.0,309.0,1351.0,52.2,44,0,0,0,0,0,0,0.9676375373215613,0,70522.2
98,M14957,M,298.9,308.9,1750.0,29.9,50,0,0,0,0,0,0,0.9676270606421915,0,52325.0
99,L47278,L,298.9,308.8,1529.0,32.7,53,0,0,0,0,0,0,0.9679404113732498,0,49998.3
100,L47279,L,298.8,308.8,1523.0,44.4,55,0,0,0,0,0,0,0.9676165771774075,0,67621.2
101,L47280,L,298.8,308.9,1852.0,25.0,57,0,0,0,0,0,0,0.9673033312809864,0,46300.0
103,L47282,L,298.8,308.8,1555.0,40.6,61,0,0,0,0,0,0,0.9676165771774075,0,63133.0
104,M14963,M,298.8,308.8,1441.0,40.5,63,0,0,0,0,0,0,0.9676165771774075,0,58360.5
105,L47284,L,298.8,308.7,1450.0,43.4,66,0,0,0,0,0,0,0.9679300260190152,0,62930.0
106,L47285,L,298.8,308.7,1591.0,31.1,68,0,0,0,0,0,0,0.9679300260190152,0,49480.100000000006
110,L47289,L,298.9,308.7,1572.0,34.1,80,0,0,0,0,0,0,0.968253965117415,0,53605.200000000004
111,L47290,L,298.8,308.6,1872.0,22.5,82,0,0,0,0,0,0,0.9682436780030989,0,42120.0
112,H29525,H,298.7,308.6,1499.0,43.5,84,0,0,0,0,0,0,0.9679196339341554,0,65206.5
113,M14972,M,298.8,308.7,1498.0,39.5,89,0,0,0,0,0,0,0.9679300260190152,0,59171.0
114,M14973,M,298.8,308.6,1486.0,41.9,92,0,0,0,0,0,0,0.9682436780030989,0,62263.4
115,L47294,L,298.8,308.6,1680.0,29.4,95,0,0,0,0,0,0,0.9682436780030989,0,49392.0
116,L47295,L,298.8,308.6,1431.0,45.7,97,0,0,0,0,0,0,0.9682436780030989,0,65396.700000000004
117,L47296,L,298.9,308.7,1564.0,34.1,99,0,0,0,0,0,0,0.968253965117415,0,53332.4
118,L47297,L,298.8,308.6,1599.0,33.0,101,0,0,0,0,0,0,0.9682436780030989,0,52767.0
119,M14978,M,298.8,308.6,1707.0,28.1,103,0,0,0,0,0,0,0.9682436780030989,0,47966.700000000004
121,L47300,L,298.9,308.7,1433.0,44.7,108,0,0,0,0,0,0,0.968253965117415,0,64055.100000000006
122,L47301,L,298.9,308.7,1558.0,41.2,110,0,0,0,0,0,0,0.968253965117415,0,64189.600000000006
123,L47302,L,299.0,308.8,1310.0,50.7,112,0,0,0,0,0,0,0.9682642455690924,0,66417.0
124,L47303,L,298.9,308.7,1546.0,43.4,114,0,0,0,0,0,0,0.968253965117415,0,67096.4
125,L47304,L,298.9,308.7,1727.0,29.4,116,0,0,0,0,0,0,0.968253965117415,0,50773.799999999996
126,L47305,L,298.9,308.6,1560.0,32.2,118,0,0,0,0,0,0,0.9685677220720422,0,50232.00000000001
127,L47306,L,299.0,308.6,1329.0,60.5,120,0,0,0,0,0,0,0.9688917661409858,0,80404.5
128,L47307,L,298.9,308.6,1413.0,46.5,122,0,0,0,0,0,0,0.9685677220720422,0,65704.5
129,L47308,L,299.0,308.6,1587.0,38.6,124,0,0,0,0,0,0,0.9688917661409858,0,61258.200000000004
130,L47309,L,298.9,308.5,1559.0,34.3,126,0,0,0,0,0,0,0.9688816824347433,0,53473.7
131,L47310,L,298.8,308.4,1473.0,41.1,128,0,0,0,0,0,0,0.9688715921891324,0,60540.3
132,L47311,L,298.8,308.4,1737.0,27.7,130,0,0,0,0,0,0,0.9688715921891324,0,48114.9
133,M14992,M,298.7,308.4,1441.0,43.2,132,0,0,0,0,0,0,0.968547337974879,0,62251.200000000004
134,M14993,M,298.7,308.4,1430.0,49.6,135,0,0,0,0,0,0,0.968547337974879,0,70928.0
135,L47314,L,298.8,308.4,1369.0,53.0,138,0,0,0,0,0,0,0.9688715921891324,0,72557.0
136,M14995,M,298.8,308.5,1711.0,28.5,140,0,0,0,0,0,0,0.9685575333272042,0,48763.5
137,H29550,H,298.7,308.5,1420.0,45.7,143,0,0,0,0,0,0,0.9682333842196649,0,64894.00000000001
138,L47317,L,298.7,308.6,1297.0,55.3,148,0,0,0,0,0,0,0.9679196339341554,0,71724.09999999999
139,H29552,H,298.8,308.6,1449.0,49.4,150,0,0,0,0,0,0,0.9682436780030989,0,71580.59999999999
140,L47319,L,298.8,308.6,1268.0,55.8,155,0,0,0,0,0,0,0.9682436780030989,0,70754.4
141,L47320,L,298.8,308.6,1511.0,36.1,157,0,0,0,0,0,0,0.9682436780030989,0,54547.1
142,L47321,L,298.7,308.5,1544.0,35.2,159,0,0,0,0,0,0,0.9682333842196649,0,54348.8
143,M15002,M,298.6,308.4,1778.0,28.2,161,0,0,0,0,0,0,0.9682230837606257,0,50139.6
144,H29557,H,298.6,308.4,1407.0,50.5,164,0,0,0,0,0,0,0.9682230837606257,0,71053.5
145,M15004,M,298.6,308.4,1391.0,42.4,169,0,0,0,0,0,0,0.9682230837606257,0,58978.4
146,L47325,L,298.5,308.4,1513.0,33.6,172,0,0,0,0,0,0,0.9678988295463722,0,50836.8
147,H29560,H,298.5,308.4,1612.0,36.1,174,0,0,0,0,0,0,0.9678988295463722,0,58193.200000000004
148,L47327,L,298.4,308.4,1515.0,40.1,179,0,0,0,0,0,0,0.9675745753321188,0,60751.5
149,M15008,M,298.3,308.3,1379.0,48.0,181,0,0,0,0,0,0,0.9675640578411805,0,66192.0
150,L47329,L,298.4,308.3,1473.0,39.9,184,0,0,0,0,0,0,0.9678884172303326,0,58772.7
151,L47330,L,298.4,308.3,1422.0,42.7,186,0,0,0,0,0,0,0.9678884172303326,0,60719.4
152,M15011,M,298.4,308.2,1463.0,37.6,188,0,0,0,0,0,0,0.9682024627897389,0,55008.8
153,M15012,M,298.4,308.2,1584.0,41.0,191,0,0,0,0,0,0,0.9682024627897389,0,64944.0
154,L47333,L,298.4,308.2,1850.0,27.0,194,0,0,0,0,0,0,0.9682024627897389,0,49950.0
155,L47334,L,298.4,308.2,1528.0,36.2,196,0,0,0,0,0,0,0.9682024627897389,0,55313.600000000006
156,H29569,H,298.4,308.2,1987.0,19.8,198,0,0,0,0,0,0,0.9682024627897389,0,39342.6
157,M15016,M,298.4,308.1,1495.0,46.0,203,0,0,0,0,0,0,0.9685167122086441,0,68770.0
158,H29571,H,298.4,308.2,1478.0,43.5,206,0,0,0,0,0,0,0.9682024627897389,0,64293.0
159,M15018,M,298.4,308.2,1499.0,40.0,211,0,0,0,0,0,0,0.9682024627897389,0,59960.0
160,L47339,L,298.4,308.2,1471.0,47.0,214,0,0,0,0,0,0,0.9682024627897389,0,69137.0
161,L47340,L,298.4,308.2,1282.0,60.7,216,1,0,0,0,1,0,0.9682024627897389,0,77817.40000000001
162,L47341,L,298.3,308.1,1412.0,52.3,218,1,0,0,0,1,0,0.9681921422648746,0,73847.59999999999
163,L47342,L,298.3,308.1,1586.0,35.5,0,0,0,0,0,0,0,0.9681921422648746,0,56303.0
164,M15023,M,298.4,308.2,1468.0,43.8,2,0,0,0,0,0,0,0.9682024627897389,0,64298.399999999994
165,M15024,M,298.5,308.3,1440.0,43.6,5,0,0,0,0,0,0,0.968212776619485,0,62784.0
166,L47345,L,298.5,308.4,1733.0,26.0,8,0,0,0,0,0,0,0.9678988295463722,0,45058.0
167,H29580,H,298.4,308.2,1612.0,32.6,10,0,0,0,0,0,0,0.9682024627897389,0,52551.200000000004
168,H29581,H,298.4,308.3,1458.0,42.9,15,0,0,0,0,0,0,0.9678884172303326,0,62548.2
169,L47348,L,298.4,308.3,1433.0,62.3,20,1,0,0,1,0,0,0.9678884172303326,0,89275.9
170,L47349,L,298.4,308.3,1318.0,59.1,22,0,0,0,0,0,0,0.9678884172303326,0,77893.8
171,M15030,M,298.4,308.2,1610.0,35.0,24,0,0,0,0,0,0,0.9682024627897389,0,56350.0
172,L47351,L,298.2,308.1,1462.0,50.8,27,0,0,0,0,0,0,0.9678675723211049,0,74269.59999999999
173,M15032,M,298.1,308.0,1924.0,20.8,29,0,0,0,0,0,0,0.9678571397147496,0,40019.200000000004
174,M15033,M,298.2,308.0,1591.0,33.7,32,0,0,0,0,0,0,0.9681818150383708,0,53616.700000000004
175,L47354,L,298.2,308.1,1306.0,58.3,35,0,0,0,0,0,0,0.9678675723211049,0,76139.8
176,L47355,L,298.2,308.1,1382.0,43.5,37,0,0,0,0,0,0,0.9678675723211049,0,60117.0
177,L47356,L,298.2,308.1,1618.0,34.7,39,0,0,0,0,0,0,0.9678675723211049,0,56144.600000000006
178,L47357,L,298.2,308.2,1988.0,21.4,41,0,0,0,0,0,0,0.9675535335251345,0,42543.2
179,L47358,L,298.2,308.2,1436.0,50.2,43,0,0,0,0,0,0,0.9675535335251345,0,72087.2
180,L47359,L,298.2,308.3,1304.0,49.8,45,0,0,0,0,0,0,0.9672396984520282,0,64939.2
181,L47360,L,298.2,308.3,1475.0,49.9,47,0,0,0,0,0,0,0.9672396984520282,0,73602.5
182,H29595,H,298.2,308.3,1824.0,24.2,49,0,0,0,0,0,0,0.9672396984520282,0,44140.799999999996
183,M15042,M,298.1,308.2,1342.0,48.1,54,0,0,0,0,0,0,0.9672290688928324,0,64550.200000000004
184,L47363,L,298.1,308.2,1485.0,40.7,57,0,0,0,0,0,0,0.9672290688928324,0,60439.50000000001
185,L47364,L,298.2,308.2,1667.0,30.6,59,0,0,0,0,0,0,0.9675535335251345,0,51010.200000000004
186,L47365,L,298.2,308.2,1446.0,38.2,61,0,0,0,0,0,0,0.9675535335251345,0,55237.200000000004
187,L47366,L,298.1,308.3,1301.0,56.0,63,0,0,0,0,0,0,0.966915339062876,0,72856.0
188,L47367,L,298.2,308.4,1379.0,43.1,65,0,0,0,0,0,0,0.966926066903612,0,59434.9
189,L47368,L,298.3,308.5,1606.0,33.6,67,0,0,0,0,0,0,0.966936787789508,0,53961.600000000006
190,M15049,M,298.3,308.4,1539.0,43.4,69,0,0,0,0,0,0,0.9672503211178655,0,66792.59999999999
191,L47370,L,298.2,308.4,1477.0,49.9,72,0,0,0,0,0,0,0.966926066903612,0,73702.3
192,L47371,L,298.2,308.4,1666.0,34.6,74,0,0,0,0,0,0,0.966926066903612,0,57643.600000000006
193,H29606,H,298.2,308.4,1398.0,51.8,76,0,0,0,0,0,0,0.966926066903612,0,72416.4
194,H29607,H,298.2,308.4,1678.0,34.6,81,0,0,0,0,0,0,0.966926066903612,0,58058.8
195,M15054,M,298.2,308.5,2678.0,10.7,86,1,0,0,1,0,0,0.9666126386819687,0,28654.6
196,L47375,L,298.3,308.5,1453.0,42.9,89,0,0,0,0,0,0,0.966936787789508,0,62333.7
197,H29610,H,298.3,308.6,1432.0,49.5,91,0,0,0,0,0,0,0.9666234576583815,0,70884.0
198,M15057,M,298.4,308.6,1527.0,40.9,96,0,0,0,0,0,0,0.9669475017273249,0,62454.299999999996
199,L47378,L,298.4,308.7,1588.0,35.0,99,0,0,0,0,0,0,0.9666342696254153,0,55580.0
200,L47379,L,298.4,308.6,1433.0,47.1,101,0,0,0,0,0,0,0.9669475017273249,0,67494.3
201,L47380,L,298.4,308.6,1609.0,35.0,103,0,0,0,0,0,0,0.9669475017273249,0,56315.0
202,L47381,L,298.3,308.5,1575.0,41.2,105,0,0,0,0,0,0,0.966936787789508,0,64890.00000000001
203,M15062,M,298.4,308.5,1636.0,35.7,107,0,0,0,0,0,0,0.9672609368970472,0,58405.200000000004
204,L47383,L,298.4,308.5,1490.0,37.9,110,0,0,0,0,0,0,0.9672609368970472,0,56471.0
205,L47384,L,298.4,308.5,1741.0,32.8,112,0,0,0,0,0,0,0.9672609368970472,0,57104.799999999996
206,M15065,M,298.5,308.6,1344.0,53.0,114,0,0,0,0,0,0,0.9672715457962684,0,71232.0
207,L47386,L,298.5,308.7,1609.0,35.3,117,0,0,0,0,0,0,0.9669582087238153,0,56797.7
208,M15067,M,298.4,308.7,1421.0,60.7,119,1,0,0,1,0,0,0.9666342696254153,0,86254.7
209,L47388,L,298.4,308.6,1591.0,36.7,122,0,0,0,0,0,0,0.9669475017273249,0,58389.700000000004
210,L47389,L,298.4,308.6,1477.0,44.0,124,0,0,0,0,0,0,0.9669475017273249,0,64988.0
211,L47390,L,298.4,308.7,1523.0,36.1,126,0,0,0,0,0,0,0.9666342696254153,0,54980.3
212,L47391,L,298.5,308.7,1575.0,33.9,128,0,0,0,0,0,0,0.9669582087238153,0,53392.5
213,H29626,H,298.4,308.7,1344.0,52.9,130,0,0,0,0,0,0,0.9666342696254153,0,71097.59999999999
214,L47393,L,298.4,308.7,1386.0,44.9,135,0,0,0,0,0,0,0.9666342696254153,0,62231.4
215,M15074,M,298.3,308.6,1589.0,37.1,137,0,0,0,0,0,0,0.9666234576583815,0,58951.9
216,L47395,L,298.3,308.6,1548.0,40.3,140,0,0,0,0,0,0,0.9666234576583815,0,62384.399999999994
217,L47396,L,298.3,308.6,1499.0,38.3,142,0,0,0,0,0,0,0.9666234576583815,0,57411.7
218,L47397,L,298.3,308.5,1664.0,31.6,144,0,0,0,0,0,0,0.966936787789508,0,52582.4
219,L47398,L,298.3,308.6,1447.0,38.1,146,0,0,0,0,0,0,0.9666234576583815,0,55130.700000000004
220,M15079,M,298.3,308.5,1434.0,46.2,148,0,0,0,0,0,0,0.966936787789508,0,66250.8
221,L47400,L,298.3,308.5,1416.0,52.7,151,0,0,0,0,0,0,0.966936787789508,0,74623.2
222,H29635,H,298.4,308.5,1827.0,24.3,153,0,0,0,0,0,0,0.9672609368970472,0,44396.1
223,L47402,L,298.4,308.6,1304.0,45.0,158,0,0,0,0,0,0,0.9669475017273249,0,58680.0
224,L47403,L,298.4,308.6,1569.0,34.4,160,0,0,0,0,0,0,0.9669475017273249,0,53973.6
225,L47404,L,298.3,308.6,1584.0,29.3,162,0,0,0,0,0,0,0.9666234576583815,0,46411.200000000004
226,L47405,L,298.3,308.5,1362.0,53.8,164,0,0,0,0,0,0,0.966936787789508,0,73275.59999999999
227,L47406,L,298.3,308.4,1329.0,49.2,166,0,0,0,0,0,0,0.9672503211178655,0,65386.8
228,L47407,L,298.3,308.5,1539.0,36.1,168,0,0,0,0,0,0,0.966936787789508,0,55557.9
229,M15088,M,298.3,308.5,1629.0,37.1,170,0,0,0,0,0,0,0.966936787789508,0,60435.9
230,L47409,L,298.3,308.5,1538.0,32.2,173,0,0,0,0,0,0,0.966936787789508,0,49523.600000000006
231,L47410,L,298.3,308.6,1570.0,34.8,175,0,0,0,0,0,0,0.9666234576583815,0,54635.99999999999
232,L47411,L,298.3,308.4,1408.0,43.1,177,0,0,0,0,0,0,0.9672503211178655,0,60684.8
233,L47412,L,298.2,308.4,1424.0,47.6,179,0,0,0,0,0,0,0.966926066903612,0,67782.40000000001
234,L47413,L,298.2,308.4,1512.0,34.9,181,0,0,0,0,0,0,0.966926066903612,0,52768.799999999996
235,L47414,L,298.2,308.4,1478.0,42.9,183,0,0,0,0,0,0,0.966926066903612,0,63406.2
236,M15095,M,298.1,308.3,1680.0,33.7,185,0,0,0,0,0,0,0.966915339062876,0,56616.00000000001
237,L47416,L,298.1,308.3,1495.0,38.7,188,0,0,0,0,0,0,0.966915339062876,0,57856.50000000001
238,M15097,M,298.0,308.1,1552.0,36.6,190,0,0,0,0,0,0,0.9672184324335655,0,56803.200000000004
239,L47418,L,297.9,308.1,1393.0,50.3,193,0,0,0,0,0,0,0.9668938624897958,0,70067.9
240,L47419,L,298.0,308.2,1611.0,30.6,195,0,0,0,0,0,0,0.9669046042605302,0,49296.600000000006
241,M15100,M,298.0,308.1,1339.0,51.6,197,0,0,0,0,0,0,0.9672184324335655,0,69092.40000000001
242,L47421,L,298.0,308.1,1777.0,24.3,200,0,0,0,0,0,0,0.9672184324335655,0,43181.1
243,L47422,L,298.0,308.2,1348.0,58.8,202,1,0,0,0,1,0,0.9669046042605302,0,79262.4
244,L47423,L,298.0,308.2,1442.0,44.1,204,0,0,0,0,0,0,0.9669046042605302,0,63592.200000000004
245,M15104,M,298.0,308.2,1395.0,49.1,206,0,0,0,0,0,0,0.9669046042605302,0,68494.5
246,M15105,M,297.9,308.1,1627.0,31.4,209,0,0,0,0,0,0,0.9668938624897958,0,51087.799999999996
247,L47426,L,297.9,308.1,1585.0,33.5,212,0,0,0,0,0,0,0.9668938624897958,0,53097.5
248,L47427,L,298.0,308.2,1469.0,45.5,214,0,0,0,0,0,0,0.9669046042605302,0,66839.5
249,L47428,L,298.0,308.3,1362.0,56.8,216,1,0,0,0,1,0,0.9665909796737236,0,77361.59999999999
250,L47429,L,298.0,308.3,1405.0,56.2,218,1,0,0,0,1,0,0.9665909796737236,0,78961.0
251,L47430,L,298.0,308.3,1662.0,32.7,0,0,0,0,0,0,0,0.9665909796737236,0,54347.4
253,L47432,L,298.0,308.2,1620.0,35.8,5,0,0,0,0,0,0,0.9669046042605302,0,57995.99999999999
254,L47433,L,298.0,308.2,1357.0,48.2,7,0,0,0,0,0,0,0.9669046042605302,0,65407.4
255,L47434,L,298.0,308.2,1514.0,37.9,9,0,0,0,0,0,0,0.9669046042605302,0,57380.6
256,L47435,L,298.0,308.2,1489.0,40.4,11,0,0,0,0,0,0,0.9669046042605302,0,60155.6
257,L47436,L,298.1,308.3,1331.0,63.0,13,0,0,0,0,0,0,0.966915339062876,0,83853.0
258,L47437,L,298.0,308.0,1615.0,29.5,15,0,0,0,0,0,0,0.9675324643911284,0,47642.5
259,L47438,L,298.1,308.2,1482.0,37.9,17,0,0,0,0,0,0,0.9672290688928324,0,56167.799999999996
261,M15120,M,298.2,308.3,1522.0,49.1,22,0,0,0,0,0,0,0.9672396984520282,0,74730.2
262,L47441,L,298.1,308.2,1654.0,32.1,25,0,0,0,0,0,0,0.9672290688928324,0,53093.4
263,M15122,M,298.1,308.2,1736.0,26.8,27,0,0,0,0,0,0,0.9672290688928324,0,46524.8
265,L47444,L,298.1,308.2,1390.0,47.5,33,0,0,0,0,0,0,0.9672290688928324,0,66025.0
